mult,pT,eta
20,7.80438,-31.3057
38,11.2089,-22.4202
24,9.34968,-36.9617
14,3.80494,17.1415
30,11.7798,7.16908
12,4.09808,35.7864
48,26.4609,8.58048
86,30.323,-153.914
24,9.8409,-48.5978
28,12.0909,12.5733
16,6.56253,-13.7701
16,5.54338,-39.9341
22,7.58776,43.5992
24,9.34416,-42.3637
20,7.39683,12.4782
44,13.8775,-28.3063
30,8.13247,-43.7778
16,7.22037,44.839
18,6.73879,32.6523
22,8.13084,42.3864
4,1.65978,15.4355
26,10.1108,-46.791
34,12.822,10.8417
50,22.8973,19.5886
18,5.41187,39.448
34,13.1865,-21.7892
30,8.16135,38.2446
18,10.4632,40.1474
34,12.3107,29.5457
16,6.28083,63.0831
32,11.0876,-110.995
16,7.50067,6.92325
46,17.3527,-76.5024
44,16.4892,39.8667
30,9.13034,91.9633
30,12.9697,-122.868
10,2.55503,9.18877
24,9.67315,82.5678
14,5.80318,-16.8649
14,4.40794,-59.8158
4,0.96074,-18.5872
28,10.0435,-44.6268
44,13.8375,-133.942
38,20.0314,-12.5762
8,2.11219,8.40583
62,29.4846,73.9895
12,3.24759,-50.2191
110,50.5244,2.41937
56,21.6302,-118.805
6,2.40556,4.12304
36,14.9977,18.8784
28,8.71508,-77.4764
8,3.21384,-9.42481
18,7.59558,0.0588035
28,12.7772,49.75
24,7.74709,-21.2366
84,37.1906,28.3584
26,8.94677,-18.4632
18,8.25792,-55.4914
26,7.04685,-12.7376
72,31.006,-109.903
18,8.218,52.3126
24,7.9313,31.4473
40,17.8753,91.0744
70,37.1378,-60.6176
8,2.73666,17.3695
36,12.9947,-30.6956
36,12.7444,46.6553
4,1.9122,9.79743
2,1.04755,2.19863
22,8.72178,72.2453
14,4.65591,-16.6446
126,57.4582,154.209
10,2.96816,-48.7629
34,13.5106,-68.7005
22,10.2349,-50.3877
16,5.04375,17.4423
50,25.0593,1.82524
20,7.50444,38.9733
8,3.33461,10.7759
18,8.29524,64.4161
20,6.08548,-96.4729
18,5.89456,-21.8215
24,8.76524,65.2249
34,16.6376,8.64225
36,12.3199,-23.4297
20,7.92669,-27.8387
38,16.7302,-78.5688
34,13.2673,71.7262
24,9.67692,15.6928
24,9.40846,-25.6395
44,19.1197,117.102
14,3.95911,66.1101
30,12.1762,-107.173
16,5.94534,-59.2359
6,1.11751,7.65454
2,0.558671,1.80057
24,8.90023,34.3936
14,4.41025,37.7851
36,12.901,8.84074
26,10.4541,18.7726
54,22.5708,-80.8036
58,25.5238,-137.133
36,16.1354,-90.1588
38,20.5813,-115.285
20,9.50605,-38.3296
18,5.43779,-77.9983
32,14.894,-42.3005
8,2.64543,-46.3607
24,8.65351,-61.8244
16,6.02312,17.9801
18,6.00771,-62.1877
30,13.6035,-94.595
22,9.4318,-110.116
14,4.99541,55.4404
6,1.60517,27.4118
32,9.8826,-68.7266
16,5.85479,58.725
70,32.6689,105.235
30,10.6959,-112.871
6,1.47414,0.0925933
20,7.35574,68.267
4,1.23333,14.3503
24,8.99297,88.5113
12,4.04261,34.3782
58,24.2622,129.008
2,0.826195,1.5533
10,3.99585,-57.0692
58,21.9049,127.781
6,1.98338,-31.3668
26,11.1244,3.90485
32,13.4444,-66.6842
18,9.25286,28.4595
34,11.7375,-42.0225
24,6.60613,-56.2399
10,3.77325,-26.7388
34,12.8665,-56.4452
118,62.8601,-48.5538
38,12.2524,92.6668
22,7.41263,-5.9793
28,12.5982,-82.9947
20,8.64452,80.0199
4,1.01162,17.8879
30,8.85015,45.5917
42,18.1567,-39.4963
34,10.7883,96.1815
6,2.08353,0.626948
38,16.2692,37.4436
18,8.61801,-13.1317
10,2.68483,-59.4193
22,9.24484,67.0379
22,7.48304,13.6667
8,2.71373,-37.5396
10,4.55039,-28.6827
6,1.65876,-28.5073
32,14.8653,65.2201
14,3.87223,-39.6536
56,17.8801,151.106
38,14.8648,94.9544
32,13.9603,-126.428
22,8.18443,50.1411
26,10.3946,-28.9058
50,16.8995,132.35
12,4.90791,29.9123
26,7.11564,36.3765
26,8.44476,-38.4005
16,5.43682,57.8883
6,2.05819,-24.5345
30,13.2309,12.0286
10,3.31383,56.1432
30,8.50164,60.4055
28,9.76708,-69.9239
42,20.2346,-45.4349
36,10.9349,-126.504
6,3.08599,21.3235
8,1.62826,13.1194
26,7.78898,-65.9045
24,9.24194,47.7855
34,16.6465,91.1273
28,10.7664,33.2673
38,12.9471,7.60509
66,26.8686,63.1489
4,1.15469,-16.1843
14,4.56332,-20.7516
50,22.9836,-78.3947
34,16.9354,115.532
28,13.2296,-62.5671
28,10.1462,17.065
18,6.92801,-37.3617
10,1.85398,23.1987
6,2.23613,0.176208
84,36.4179,-65.3723
18,9.04168,-4.11851
12,4.48028,-41.3296
36,14.1602,-42.0936
34,14.068,18.7572
12,4.84412,-21.5106
18,5.37682,-48.7713
50,19.6193,-104.768
2,1.24759,0.39277
6,1.30008,-27.4719
14,5.07446,19.6978
6,1.91054,-26.8674
4,1.62945,-15.4929
26,9.22211,-8.33408
28,12.8029,-0.0885843
4,2.668,15.4278
32,11.5456,-32.0812
14,7.23587,52.4061
36,11.5254,-84.7059
20,8.96178,-2.60649
18,7.42358,-45.5317
22,8.94865,-19.6481
38,14.1545,-69.2631
34,14.6807,70.719
50,21.7915,122.087
6,2.13248,-29.7282
12,3.28717,-39.204
22,6.25271,75.7584
34,11.2533,-31.9261
44,19.6117,35.2831
32,10.9889,110.406
32,14.725,8.59252
38,14.1826,103.344
20,9.19438,51.0662
14,7.592,-70.2331
74,45.3755,-172.954
8,2.99674,-11.1185
8,3.05998,-7.19317
28,10.7075,59.798
18,6.06159,49.237
58,21.4819,20.0451
48,24.3582,-15.7878
40,15.9775,-110.885
22,7.2499,26.2037
2,1.34671,-1.08733
42,18.5438,50.2675
30,12.7773,-82.9706
10,3.30264,-19.9313
32,15.0458,83.7612
26,8.16858,42.0435
36,14.4805,25.1087
18,7.04553,50.0414
24,7.76007,43.559
24,5.89055,86.295
30,12.7544,35.7884
8,3.57426,38.1054
40,16.582,-24.8359
40,19.1382,16.7427
36,14.4119,-42.9444
14,4.69113,-41.8064
26,9.65656,-39.101
24,8.54469,31.5292
14,4.59456,-72.486
26,17.5415,-61.5456
34,10.8035,48.2017
12,4.21314,28.943
22,8.27675,-55.902
16,5.28788,-50.4425
24,8.87376,-49.424
26,11.0172,34.1927
16,6.11186,78.891
12,4.74082,32.0705
42,16.1371,-9.06544
36,12.9296,29.1562
34,12.9245,119.247
22,8.47764,-89.532
26,8.40201,50.7177
18,5.8241,52.4141
18,6.43993,-5.7194
24,8.41071,21.6561
26,7.70918,-37.8895
10,3.08813,-54.7649
16,5.76639,-38.3016
4,1.15833,19.7297
56,21.3676,69.6784
34,12.2936,-57.5692
26,8.65606,40.0763
8,2.04233,3.99366
32,15.4205,-58.2435
16,5.76863,-43.7904
20,7.32789,62.4145
20,9.30844,14.4894
38,14.6114,-52.3738
30,10.6744,-60.4364
32,16.1643,40.6736
20,6.30588,-24.0647
28,9.20875,55.8837
12,4.15367,46.6312
16,5.83598,-45.7185
34,11.1998,-60.6577
10,3.06388,-28.997
36,9.53588,114.129
24,12.2623,83.6361
18,6.71036,-12.4858
14,4.70488,38.3424
14,3.95059,-28.5044
24,7.96156,-67.1011
26,9.54183,18.5056
74,33.3386,25.3257
10,2.67543,-34.1413
28,8.87142,-67.3645
30,11.1878,-18.0064
36,16.8948,-80.2597
74,29.3599,134.028
32,12.8571,2.23304
40,12.2685,87.2319
10,4.20182,-38.8883
38,14.5873,14.3426
2,1.04964,0.897763
38,12.6463,100.327
10,3.76157,33.9713
34,10.7272,-7.00111
24,8.9578,78.4135
38,11.7429,72.7323
18,5.20449,36.8675
32,11.7239,-32.8403
18,7.03113,50.9183
24,8.35628,-5.55686
24,7.85737,-19.0705
36,12.0471,55.1298
14,4.33851,-42.5973
14,5.84307,51.8671
28,8.22488,-30.0643
26,9.83094,67.7377
34,13.9226,82.3744
30,9.9596,-70.8615
10,3.5641,54.5641
38,14.4511,44.7778
30,10.5799,-12.4782
26,7.40417,-30.3924
2,1.19387,-1.81654
44,21.2313,44.6516
18,5.62848,-65.2649
58,22.1192,30.0991
26,8.87061,-77.9259
24,6.34787,-81.6463
6,1.22095,31.9945
6,1.92255,-1.47893
26,9.722,-69.3722
34,11.9583,-31.1179
26,11.0533,-64.21
36,17.3334,4.814
8,2.60211,-40.5745
38,14.0533,-37.2095
44,18.7009,70.6183
18,5.44882,66.0381
14,7.46006,0.675247
16,7.33029,-80.7917
14,6.6242,-21.6064
14,5.47319,-51.4503
20,4.61546,-93.4208
4,1.03867,14.8865
30,9.96345,-47.0929
6,1.86255,29.9103
8,3.73696,-6.16245
20,7.54762,-69.0791
12,4.88148,-13.7248
32,11.1839,60.1372
26,9.94669,-60.2994
18,8.82843,63.4242
24,6.77739,-72.1515
72,37.1053,-188.649
98,39.4715,-64.5971
18,6.63274,-10.3645
54,20.2099,-96.707
32,11.7821,-9.38169
28,9.52813,-30.448
2,0.782528,-1.98441
12,5.12537,-40.1212
4,1.61911,-14.0904
20,7.50647,-12.9703
30,9.27671,107.899
28,10.5766,-73.8813
22,8.17064,74.3415
22,6.84842,6.33571
14,3.91835,-10.6334
8,1.7358,8.4062
20,6.85354,-23.0323
16,5.45494,-16.4184
28,10.6119,-78.4401
56,24.8632,-94.6717
32,9.68205,-14.5987
28,10.3927,-54.4555
36,11.3993,38.4438
18,5.83719,6.80473
8,3.3083,-43.3107
6,2.53307,30.5813
6,3.07171,1.76897
32,11.5383,-23.5293
48,18.2866,-113.931
40,13.8057,-94.9783
20,7.98491,13.2864
14,5.05761,11.4661
22,6.78782,-61.0746
6,2.02431,-22.3296
26,6.64366,13.128
36,11.1563,63.098
38,14.2145,62.8163
6,1.47494,-27.3829
32,9.16197,-56.258
32,13.1291,0.732486
18,4.77524,-2.4043
104,46.1481,-69.1342
32,10.9549,128.668
40,19.5635,-69.4644
4,0.933816,14.3528
54,25.0934,113.191
24,6.37401,-20.7519
24,6.42165,-64.784
26,7.62968,-77.5194
26,9.55085,-78.2936
12,3.55,-34.9605
6,2.26419,1.48777
