mult,pT,eta
16,5.33349,-55.943
14,5.02627,-42.0854
40,20.2334,-20.1446
18,7.04621,30.3764
4,1.21172,10.1689
8,2.87424,-0.21471
18,6.50347,-14.9993
6,2.37007,8.11859
6,2.00648,8.47446
10,2.97044,23.9692
18,5.21161,13.093
22,6.55403,44.9612
18,7.18786,-20.653
16,7.46773,4.52027
6,2.49459,-10.7281
6,2.65194,-11.1217
6,2.5827,-9.81395
16,5.69676,-14.3426
16,4.58486,1.56295
2,0.388597,0.685739
4,2.27164,-4.65757
30,9.21405,76.3494
30,13.0124,34.9088
20,6.36527,-20.4269
2,1.18318,0.356179
4,1.07685,-14.8817
2,0.402361,0.209275
18,5.60534,-63.6826
4,1.32949,-1.6205
14,4.52936,-22.2316
2,0.36079,0.638585
32,10.992,38.5534
4,1.40868,0.420544
36,17.1101,-16.2539
30,12.0735,30.6846
24,6.19849,-25.0754
10,2.60465,-26.7115
6,2.38775,-17.1244
28,10.4657,-43.2162
32,10.8545,-22.5193
14,3.65602,-32.4599
10,4.91363,-30.8804
8,2.30261,27.6523
20,7.01995,19.8243
4,1.24686,-11.5093
12,4.41518,6.26813
8,2.57156,9.68364
10,4.13616,-21.4759
26,9.82215,34.7915
6,1.28621,-11.6836
18,6.79337,-13.7626
16,5.31535,36.9152
12,4.91807,-29.1057
8,3.67211,-0.462529
4,0.756238,2.59994
34,12.3305,-33.4856
2,0.339889,0.708429
12,3.49978,1.57572
10,2.71546,19.2869
8,1.85325,11.8402
