mult,pT,eta
4,1.41403,-15.637
52,21.6685,19.0448
16,6.7084,71.7986
80,32.4522,-43.2667
26,12.2008,-44.9251
2,0.601422,-2.21951
10,3.75034,-50.2485
36,14.5373,74.115
2,0.61507,-5.2432
32,16.3694,-2.00956
106,42.714,53.4405
18,6.43984,30.5337
28,11.4457,3.42927
8,3.02277,-36.9722
2,0.78997,-1.14645
10,2.36207,49.3458
22,9.98201,-104.948
18,6.87642,90.1925
10,3.69314,55.3243
4,1.08112,-15.0332
2,0.292229,-2.0034
46,21.6725,65.0212
8,1.49263,-44.8747
16,7.33846,61.4876
42,16.1661,-31.3553
2,0.651364,0.196648
22,8.22373,-90.2818
48,20.4851,-64.2705
76,38.901,-88.5985
2,0.375844,-2.09779
4,0.892565,-13.9918
32,10.0017,95.8899
6,1.6468,19.6892
30,9.11007,69.782
14,6.29689,46.0082
32,14.5173,128.262
64,26.6666,-4.50282
8,2.0481,38.9464
2,0.468853,4.82804
30,10.2215,105.467
4,1.75637,13.1928
2,0.705078,0.56392
14,4.53462,-65.4546
170,96.9701,134.999
10,4.44797,49.3746
4,1.36793,-12.8757
12,4.41049,49.5985
56,21.9487,64.894
24,8.09999,-98.5662
6,3.28468,-16.14
8,2.50623,36.4264
2,0.83365,-1.30231
24,10.6923,-86.2808
6,2.74881,26.6246
18,7.56407,63.5645
80,40.5275,-26.4016
76,28.4099,101.16
18,5.07832,87.3571
16,5.28736,48.9641
2,0.707204,-0.299298
26,10.0875,96.1059
18,5.89155,67.2137
32,15.4049,106.435
12,3.32656,66.8968
12,3.88682,-56.3496
40,14.5908,49.232
52,20.101,-90.6457
32,13.6144,-130.449
10,3.6672,-45.7159
2,1.00182,-0.428476
62,29.3547,-64.3167
24,12.0909,-76.7046
16,5.62849,50.8307
12,6.41841,-52.8246
20,9.25617,69.2118
4,0.484314,-14.7188
20,8.60985,-56.5982
34,11.1391,86.6851
22,6.42272,-71.7622
22,7.23726,95.4565
4,1.11423,15.2454
28,10.0455,-125.23
30,14.7384,-38.8187
54,23.7117,68.9713
70,36.8511,14.1028
48,16.0671,-41.8634
4,1.33826,-10.8475
2,0.554559,1.79751
30,10.1895,-46.3448
22,9.08515,-68.7348
40,14.5868,6.02049
74,31.4579,-144.007
12,6.12832,55.2083
12,3.31382,-59.7495
4,2.01988,14.244
6,1.74978,-27.1507
40,15.9367,13.0478
2,0.834397,-2.10819
64,27.3366,72.7113
26,8.72828,-96.3536
14,5.81922,0.273568
18,5.01919,-66.1208
6,2.4675,-26.3755
40,14.2968,-101.827
20,8.69811,-80.7847
44,18.2491,-30.1053
64,21.3657,-179.129
16,5.2009,64.399
38,13.4257,-2.69342
22,11.8914,-77.4372
4,3.02549,13.9493
12,4.18181,51.6478
12,3.11242,-68.5112
30,9.519,75.8033
8,2.695,29.8828
4,0.727129,9.70761
24,12.2136,-99.6148
4,1.73714,-10.7533
4,0.79315,-15.8013
26,10.5943,51.3759
32,10.928,-95.445
16,6.11803,85.3683
2,0.552109,-0.950191
4,1.05216,-14.8936
2,0.940091,1.581
14,5.30617,64.4875
38,17.6851,121.857
18,5.91535,-35.3487
28,10.574,-61.9898
12,3.5493,-67.523
2,0.434964,0.682294
12,4.34948,-56.9921
46,16.6616,-91.5113
50,35.7795,-2.61613
34,14.4623,85.0697
12,2.80746,-63.6134
2,0.543454,6.36988
2,0.290518,-4.64744
14,4.79017,-49.1887
36,14.1345,-54.2939
24,10.221,47.1386
2,0.554284,2.93326
2,0.573898,-0.690947
52,24.2802,98.1072
8,2.86305,-41.3986
38,13.9229,20.3807
2,0.349933,-5.49827
18,5.25923,-16.4109
14,4.24833,-66.3035
38,11.7871,-52.9325
44,20.8098,-52.2557
4,1.10028,14.6155
2,0.687377,2.44653
38,13.6663,56.7045
4,2.65936,12.4548
4,1.2203,-16.3272
32,10.906,-76.1894
2,0.856177,-0.854597
48,20.9514,110.148
54,26.0108,146.929
26,9.67023,-76.912
4,1.27074,14.508
30,10.8498,-65.3309
22,7.68952,-105.608
12,4.62461,52.6097
20,6.86143,90.5941
46,18.6739,-103.479
42,20.9616,-81.7328
2,0.583725,0.799467
28,10.8908,-70.4398
26,9.56898,-84.2855
2,0.365371,0.479979
6,3.6096,26.5226
2,0.217663,-0.890931
24,8.54351,41.1519
20,5.84327,-69.7208
58,26.0204,-96.7107
78,32.567,-127.148
10,5.25075,-36.1168
26,11.7099,98.1111
2,0.521231,1.29705
2,0.385851,-3.37838
34,12.4883,18.8665
48,21.3662,-63.9594
2,0.262411,-4.84296
20,9.02411,-68.2443
28,9.2272,-96.3595
38,12.5341,7.67615
78,27.7059,-6.61979
30,10.6672,-133.901
30,9.30593,-93.2266
16,4.49978,-83.2586
2,0.849139,-0.0827097
42,20.6682,45.4173
120,53.6064,97.4637
22,6.60962,108.696
54,27.8908,36.5215
10,5.07498,14.2295
12,5.00104,-65.5113
60,24.6855,-36.4569
18,8.07633,-70.8486
72,41.9004,-48.7421
4,1.28502,12.3097
50,21.971,30.6307
12,6.1137,-37.9348
54,19.3621,131.892
38,15.3371,-93.9426
16,5.85994,48.0693
4,1.15881,12.7012
4,0.879645,18.7956
10,4.80933,34.0155
16,5.5343,-62.3433
8,2.1513,35.4235
4,1.43045,-16.4254
30,11.4645,-85.9605
2,0.537754,-1.9959
10,4.44768,-40.6235
10,2.56835,-55.9569
22,7.70059,-86.4101
20,5.89943,91.0487
4,0.856812,16.1125
40,17.7357,10.668
24,11.5541,75.5129
4,1.6324,-11.4051
44,17.1247,64.7915
18,7.7717,-75.1548
8,3.5042,29.4497
6,2.57179,-22.4028
22,7.63121,-64.1247
42,18.6326,-123.372
44,20.1769,102.643
14,3.36147,44.3163
14,5.06513,-47.8091
82,39.0909,81.6494
22,8.38927,-38.2458
18,7.22153,-76.0239
12,8.02928,-42.7763
2,0.735185,1.10551
20,9.38994,-54.8227
20,7.58346,41.5823
6,2.19279,16.5879
6,1.63843,-27.9655
6,1.64973,-28.0437
48,18.441,-8.64016
26,11.1118,-108.035
54,23.3358,-18.6974
10,4.06636,-44.9345
2,0.936169,-2.56856
30,10.1702,85.8669
110,57.7703,-82.8509
28,11.4343,-60.2598
54,22.2693,43.5066
30,11.2256,138.615
20,8.03123,91.4219
18,8.10595,62.5717
74,26.5059,116.681
22,6.2106,66.8186
8,3.62916,34.6685
22,8.18839,-72.1793
18,3.87002,-76.451
2,0.265689,-1.67413
32,18.5413,15.3513
4,1.37027,-16.0163
4,0.83007,-10.9393
24,8.58177,-83.1148
2,0.610179,-1.07673
20,7.50814,87.5954
34,11.9432,-57.8787
44,18.3435,-19.2828
28,11.9504,44.9691
10,2.32771,-52.2348
132,74.8065,-145.357
10,3.43383,46.6585
6,1.81794,21.054
30,9.82494,-116.598
12,3.8369,-28.8169
6,1.3487,29.6116
10,3.46761,-50.9951
82,37.4577,91.8275
6,1.8432,32.2899
4,1.06421,-15.9122
38,13.475,-35.7586
36,13.6019,-128.539
6,1.74919,27.8145
34,11.4396,-67.4282
2,0.879776,-2.14965
34,13.752,66.7931
52,25.659,75.2917
14,6.49189,-62.7221
26,7.86262,-85.1831
62,22.1404,-51.2722
2,0.776171,1.01741
14,5.42291,71.6195
72,28.5149,147.726
4,0.723696,14.5293
32,9.56564,69.2095
2,0.499659,-1.29547
20,10.9881,69.4842
10,3.70659,-46.1835
66,38.6797,-64.7076
20,9.74348,-84.051
32,12.4221,-83.8133
6,2.39576,-28.4449
52,17.4999,71.2563
112,55.1439,-123.596
44,24.3554,4.30637
12,4.91054,-49.8532
4,1.43776,-13.0108
66,27.4538,147.469
12,5.15567,60.3048
2,0.268922,-0.213748
22,7.79405,-82.744
8,3.05589,38.8405
